studyid,treat,acm_r,acm_n
EMPEROR-Reduced,BB+MRA+RASi+SGLT2i,249,1863
EMPEROR-Reduced,BB+MRA+RASi,266,1867
EMPHASIS-HF,BB+MRA+RASi,171,1364
EMPHASIS-HF,BB+RASi,213,1373
ENECA,BB+RASi,7,134
ENECA,RASi,7,126
He_2015,BB,14,96
He_2015,RASi,40,395
I-PRESERVE,BB+RASi,445,2067
I-PRESERVE,BB,436,2061
J-DHF,BB+RASi,18,120
J-DHF,RASi,21,125
J-EMPHASIS-HF,BB+MRA+RASi,17,111
J-EMPHASIS-HF,BB+RASi,10,110
LIFE,ARNI+BB+MRA,13,167
LIFE,BB+MRA+RASi,8,168
Liu_2014,BB,1,77
Liu_2014,PCO,5,77
LIVE,BB+GLP-1RA+RASi,1,122
LIVE,BB+RASi,0,119
MDC,BB+RASi,23,194
MDC,RASi,19,189
MERIT-HF,BB+RASi,145,1990
MERIT-HF,RASi,217,2001
MHFT,RASi,22,83
MHFT,PCO,22,87
MOCHA,BB+RASi,8,261
MOCHA,RASi,7,84
Ozkara_2007,MRA+RASi,2,62
Ozkara_2007,RASi,0,55
PARADIGM-HF,ARNI+BB+MRA,711,4187
PARADIGM-HF,BB+MRA+RASi,835,4212
PARAGON-HF,ARNI+BB,342,2407
PARAGON-HF,BB+RASi,349,2389
PARALLAX,ARNI+BB,23,1280
PARALLAX,BB+RASi,17,1284
PARALLEL-HF,ARNI+BB+MRA,20,111
PARALLEL-HF,BB+MRA+RASi,17,112
PARAMOUNT,ARNI+BB,1,149
PARAMOUNT,BB+RASi,2,152
PEP-CHF,BB+RASi,56,424
PEP-CHF,BB,53,426
PRIME,ARNI+BB,1,60
PRIME,BB+RASi,0,58
RALES,MRA+RASi,284,822
RALES,RASi,386,841
REVERT,BB+RASi,6,96
REVERT,RASi,2,53
SENIORS,BB+RASi,169,1067
SENIORS,RASi,192,1061
SOLVD_1,RASi,452,1285
SOLVD_1,PCO,510,1284
SOLVD_2,RASi,313,2111
SOLVD_2,PCO,334,2117
STEP-HFpEF,BB+GLP-1RA+RASi,3,263
STEP-HFpEF,BB+RASi,4,266
Sturm_2000,BB+RASi,5,51
Sturm_2000,RASi,8,49
SUGAR-DM-HF,BB+MRA+RASi+SGLT2i,2,52
SUGAR-DM-HF,BB+MRA+RASi,0,53
SUPPORT,BB+RASi,98,578
SUPPORT,BB,85,568
SWORD,BB+RASi,55,1093
SWORD,RASi,35,1113
The Captopril-Digoxin Multicenter Research Group,RASi,8,104
The Captopril-Digoxin Multicenter Research Group,PCO,6,100
The U.S. Carvedilol Heart Failure Study Group,BB,22,696
The U.S. Carvedilol Heart Failure Study Group,PCO,31,398
TOPCAT,BB+MRA+RASi,252,1722
TOPCAT,BB+RASi,274,1723
Val-HeFT,RASi,495,2511
Val-HeFT,PCO,484,2499
Vizzardi_2014,BB+MRA+RASi,8,65
Vizzardi_2014,BB+RASi,8,65
Vizzardi_2015,BB+MRA+RASi,1,51
Vizzardi_2015,BB+RASi,0,51
Waagstein_2003,BB+RASi,4,86
Waagstein_2003,RASi,3,79
Wu_2016,MRA,9,57
Wu_2016,PCO,20,62
Yip_2008,RASi,1,101
Yip_2008,PCO,3,50
Yuksek_2019,RASi,3,54
Yuksek_2019,PCO,0,54
FINEARTS-HF,BB+MRA+RASi,491,3003
FINEARTS-HF,BB+RASi,522,2998
RESOLVD_2,BB+RASi,8,214
RESOLVD_2,RASi,17,212
SOLOIST-WHF,BB+MRA+RASi+SGLT2i,65,608
SOLOIST-WHF,BB+MRA+RASi,76,614
FIGHT,BB+GLP-1RA+MRA+RASi,19,154
FIGHT,BB+MRA+RASi,16,146
PARAGLIDE-HF,ARNI+BB,18,233
PARAGLIDE-HF,BB+RASi,26,233
STEP-HFpEF DM,BB+GLP-1RA+RASi,6,310
STEP-HFpEF DM,BB+RASi,10,306
EFFORT,BB+MRA+SGLT2i,0,63
EFFORT,BB+MRA,3,65
Lin_2024,BB+MRA+RASi+SGLT2i,8,100
Lin_2024,BB+MRA+RASi,10,100
SUMMIT,BB+GLP-1RA+RASi,19,364
SUMMIT,BB+RASi,15,367
